%Augment,Model,Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
BASELINE,inception_next_small.sail_in1k,13,0.9914452949122017,0.9957042731177933,0.9935702199661589,0.9465,0.7414965986394558,0.5956284153005464,0.6606060606060605,0.9572,1.0,0.75,0.8571428571428571,0.8543,0.9874,0.911,0.7804,0.8371,0.9194
BASELINE,inception_next_small.sail_in1k,FINALTEST,0.9904494382022472,0.9964955912276735,0.9934633156767722,0.9471,0.7709923664122137,0.5519125683060109,0.643312101910828,0.9582,0.8333333333333334,0.625,0.7142857142857143,0.9926,0.9872,0.8649,0.7245,0.7837,0.966
BASELINE,tiny_vit_21m_224.dist_in22k_ft_in1k,14,0.9933288104929896,0.9931042278996156,0.9932165065008479,0.9804,0.6756756756756757,0.6830601092896175,0.6793478260869565,0.9798,0.875,0.875,0.875,0.9952,0.9867,0.848,0.8504,0.8492,0.9851
BASELINE,tiny_vit_21m_224.dist_in22k_ft_in1k,FINALTEST,0.9927716286424215,0.9936694551209586,0.9932203389830508,0.9765,0.6936416184971098,0.6557377049180327,0.6741573033707865,0.978,0.7,0.875,0.7777777777777777,0.9813,0.9867,0.7955,0.8415,0.8151,0.9786
20,inception_next_small.sail_in1k,33,0.9933355924545352,0.994121636898033,0.9937284592349851,0.9646,0.7078651685393258,0.6885245901639344,0.6980609418282547,0.9704,1.0,0.75,0.8571428571428571,0.9308,0.9877,0.9004,0.8109,0.8496,0.9552
20,inception_next_small.sail_in1k,FINALTEST,0.9912132477188239,0.994686864119376,0.9929470179992099,0.9618,0.6967741935483871,0.5901639344262295,0.6390532544378699,0.9762,0.8,0.5,0.6153846153846154,0.8609,0.9861,0.8293,0.695,0.7491,0.933
20,tiny_vit_21m_224.dist_in22k_ft_in1k,31,0.9929967242742573,0.9937825005652272,0.9933894570314706,0.9711,0.6931818181818182,0.6666666666666666,0.67966573816156,0.9663,0.875,0.875,0.875,0.9917,0.9871,0.8537,0.8451,0.8494,0.9764
20,tiny_vit_21m_224.dist_in22k_ft_in1k,FINALTEST,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
40,inception_next_small.sail_in1k,43,0.9931174545864832,0.9950260004521818,0.9940708114518042,0.9738,0.7380952380952381,0.6775956284153005,0.7065527065527065,0.9734,1.0,0.75,0.8571428571428571,0.9868,0.9884,0.9104,0.8075,0.8526,0.978
40,inception_next_small.sail_in1k,FINALTEST,0.9918845807033363,0.9947999095636446,0.993340106106784,0.9746,0.7215189873417721,0.6229508196721312,0.6686217008797654,0.9837,0.5714285714285714,0.5,0.5333333333333333,0.7212,0.9868,0.7616,0.7059,0.7318,0.8932
40,tiny_vit_21m_224.dist_in22k_ft_in1k,22,0.9938955460094958,0.9938955460094958,0.9938955460094958,0.9737,0.7119565217391305,0.7158469945355191,0.7138964577656676,0.9737,0.8571428571428571,0.75,0.7999999999999999,0.9966,0.988,0.8543,0.8199,0.8359,0.9814
40,tiny_vit_21m_224.dist_in22k_ft_in1k,FINALTEST,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
60,inception_next_small.sail_in1k,12,0.9919019232932179,0.9969477730047479,0.9944184473135255,0.9587,0.8129496402877698,0.6174863387978142,0.7018633540372672,0.9632,0.8571428571428571,0.75,0.7999999999999999,0.943,0.989,0.8873,0.7881,0.8321,0.955
60,inception_next_small.sail_in1k,FINALTEST,0.9908947841726619,0.9964955912276735,0.9936872956825612,0.9797,0.7835820895522388,0.5737704918032787,0.6624605678233437,0.981,0.5714285714285714,0.5,0.5333333333333333,0.9987,0.9875,0.782,0.6901,0.7298,0.9865
60,tiny_vit_21m_224.dist_in22k_ft_in1k,25,0.9924481514878268,0.9953651367849876,0.9939045038943446,0.9837,0.7468354430379747,0.644808743169399,0.6920821114369502,0.9836,0.8571428571428571,0.75,0.7999999999999999,0.9939,0.988,0.8655,0.7967,0.8287,0.9871
60,tiny_vit_21m_224.dist_in22k_ft_in1k,FINALTEST,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
80,inception_next_small.sail_in1k,6,0.9928917973598105,0.9947999095636446,0.993844937602349,0.9694,0.7261904761904762,0.6666666666666666,0.6951566951566951,0.9743,1.0,0.75,0.8571428571428571,0.8784,0.9879,0.9064,0.8038,0.8487,0.9407
80,inception_next_small.sail_in1k,FINALTEST,0.9919927822262321,0.9943477277865702,0.9931688590300909,0.9787,0.696969696969697,0.6284153005464481,0.6609195402298851,0.9834,0.8,0.5,0.6153846153846154,0.9825,0.9865,0.8297,0.7076,0.7565,0.9815
80,tiny_vit_21m_224.dist_in22k_ft_in1k,14,0.9927822262320966,0.9951390458964504,0.9939592389770225,0.9713,0.7423312883435583,0.6612021857923497,0.6994219653179191,0.9701,0.8571428571428571,0.75,0.7999999999999999,0.9989,0.9882,0.8641,0.8021,0.8311,0.9801
80,tiny_vit_21m_224.dist_in22k_ft_in1k,FINALTEST,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
100,inception_next_small.sail_in1k,7,0.9916713562183456,0.9960434094505991,0.9938525745868817,0.9732,0.7602739726027398,0.6065573770491803,0.6747720364741642,0.9787,1.0,0.75,0.8571428571428571,0.9557,0.9879,0.9173,0.7842,0.8419,0.9692
100,inception_next_small.sail_in1k,FINALTEST,0.9901145809930353,0.9963825457834049,0.9932386747802568,0.9678,0.765625,0.5355191256830601,0.6302250803858521,0.9764,0.7142857142857143,0.625,0.6666666666666666,0.9936,0.9867,0.8233,0.719,0.7634,0.9793
100,tiny_vit_21m_224.dist_in22k_ft_in1k,7,0.9943362029904849,0.9923129097897355,0.9933235260835125,0.9766,0.6666666666666666,0.73224043715847,0.6979166666666667,0.9754,0.875,0.875,0.875,0.9967,0.9869,0.8453,0.8665,0.8554,0.9829
100,tiny_vit_21m_224.dist_in22k_ft_in1k,FINALTEST,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
